Conference Name,Start Date,End Date,Month,Quarter,City,Country,Region,Type,Bitcoin-Only,Mining Focus,Website,Status,Notes / Key Details,Verified
Max & Stacy Golf Invitational 2027,January 11,January 13,January,Q1,El Salvador,El Salvador,Latin America,Networking,Yes,No,https://bitcoingolfinvitational.com,Confirmed,El Encanto Resort,Yes - proofofconference directory
Bitcoin Day Naples 2027,January 16,January 16,January,Q1,Naples (FL),USA,TBD,Conference,Yes,No,,Confirmed,Four Seasons Naples,Yes - bitcoinday.io/naples27 + proofofconference
Bitcoin Medellín Conference 2027,January 16,January 17,January,Q1,Medellín,Colombia,Latin America,Conference,Yes,No,https://btcmedellin.com,Projected,"PROJECTED - 2027 dates not announced. 2026 edition: January 16 to January 17. 2nd edition; Plaza Mayor; speakers: Jeff Booth, Oliver Velez, Mike Peterson",Projected from the 2026 list
Bitchill Island Retreat 2027,January 18,January 28,January,Q1,Prospera,Honduras,Latin America,Retreat,Yes,No,https://thebitcoindistrict.com/bitchill/,Projected,PROJECTED - 2027 dates not announced; carried from the 2026 edition. Long-form retreat,Projected from proofofconference
Nashville Energy & Mining Summit 2027,January 22,January 23,January,Q1,Nashville (TN),USA,North America,Summit,Yes,Yes,https://bitcoinpark.com/mining,Projected,PROJECTED - 2027 dates not announced. 2026 edition: January 22 to January 23. Bitcoin Park flagship mining event,Projected from the 2026 list
Wall Street Bets Live 2027,January 28,January 30,January,Q1,Miami (FL),USA,North America,Conference,No,No,https://wsblive.com,Projected,PROJECTED - 2027 dates not announced. 2026 edition: January 28 to January 30. Finance + Bitcoin; Miami,Projected from the 2026 list
Plan B Forum El Salvador 2027,January 29,January 30,January,Q1,San Salvador,El Salvador,Latin America,Forum,Yes,No,https://planb.lugano.ch/planb-forum/,Confirmed,planb.sv,Yes - proofofconference directory
Adopting Bitcoin Cape Town 2027,January 30,January 31,January,Q1,Cape Town,South Africa,Africa,Conference,Yes,No,https://adoptingbitcoin.org,Projected,PROJECTED - 2027 dates not announced. 2026 edition: January 30 to January 31. Lightning Network & Bitcoin adoption; Btrust-supported,Projected from the 2026 list
DTECH Grid 2027,February 2,February 5,February,Q1,San Diego (CA),USA,North America,Expo,No,Yes,https://www.distributech.com,Projected,PROJECTED - 2027 dates not announced. 2026 edition: February 2 to February 5. Power grid + distributed energy + Bitcoin mining infrastructure,Projected from the 2026 list
The Sovereign Summit 2027,February 4,February 7,February,Q1,Miami Beach (FL),USA,TBD,Conference,Yes,No,,Confirmed,"Fontainebleau, Coastal Convention Center",Yes - thesovereignsummit.com + proofofconference
Auckland Freedom Forum 2027,February 6,February 8,February,Q1,Auckland,New Zealand,Oceania,Forum,Yes,No,https://freedomforum.org.nz/,Projected,PROJECTED - 2027 dates not announced; carried from the 2026 edition.,Projected from proofofconference
Bitcoin Investor Week 2027,February 9,February 13,February,Q1,New York City (NY),USA,North America,Conference,No,No,https://www.bitcoininvestorweek.com,Projected,PROJECTED - 2027 dates not announced. 2026 edition: February 9 to February 13. Institutional Bitcoin investment; NYC,Projected from the 2026 list
ERCOT Summit 2027,February 10,February 12,February,Q1,Austin (TX),USA,North America,Summit,No,Yes,https://infocastinc.com/event/ercot-market,Projected,PROJECTED - 2027 dates not announced. 2026 edition: February 10 to February 12. Texas power grid + Bitcoin mining energy infrastructure,Projected from the 2026 list
NAPE Summit 2027,February 18,February 20,February,Q1,Houston (TX),USA,North America,Summit,No,Yes,https://napeexpo.com/summit,Projected,PROJECTED - 2027 dates not announced. 2026 edition: February 18 to February 20. Oil & gas + energy sector; Bitcoin Mining Hub track,Projected from the 2026 list
